userId,movieId,title,rating,timestamp
777,2571,"Matrix, The",5,2024-08-30 20:45:25
777,356,Forrest Gump,4,2024-08-31 09:47:29
777,318,"Shawshank Redemption, The",5,2024-08-31 10:00:58
777,17,Sense and Sensibility,5,2024-08-31 10:05:18
777,17,Sense and Sensibility,4,2024-03-31 10:05:18
777,356,Forrest Gump,5,2024-08-31 11:36:16
777,111,Taxi Driver,5,2024-08-31 16:44:45
777,5357,Iron Will,4,2024-08-31 16:45:18
777,69469,Garfield's Pet Force,5,2024-08-31 16:46:23
777,4116,Hollywood Shuffle,4,2024-08-31 16:47:51
777,145994,Formula of Love,5,2024-08-31 16:48:19
777,296,Pulp Fiction,5,2024-08-31 16:48:55
